5 15:23:35 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000004_7: Committed
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000015_18: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 15.0 in stage 2.0 (TID 18). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 16.0 in stage 2.0 (TID 19, localhost, partition 16,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 16.0 in stage 2.0 (TID 19)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 15.0 in stage 2.0 (TID 18) in 42 ms on localhost (15/200)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000014_17' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000014
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000014_17: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 14.0 in stage 2.0 (TID 17). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 17.0 in stage 2.0 (TID 20, localhost, partition 17,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 17.0 in stage 2.0 (TID 20)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 14.0 in stage 2.0 (TID 17) in 46 ms on localhost (16/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000017_20' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000017
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000017_20: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 17.0 in stage 2.0 (TID 20). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 18.0 in stage 2.0 (TID 21, localhost, partition 18,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 18.0 in stage 2.0 (TID 21)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 17.0 in stage 2.0 (TID 20) in 33 ms on localhost (17/200)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000016_19' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000016
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000016_19: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 16.0 in stage 2.0 (TID 19). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 19.0 in stage 2.0 (TID 22, localhost, partition 19,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 19.0 in stage 2.0 (TID 22)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 16.0 in stage 2.0 (TID 19) in 38 ms on localhost (18/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000018_21' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000018
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000018_21: Committed
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000019_22' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000019
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 18.0 in stage 2.0 (TID 21). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000019_22: Committed
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 20.0 in stage 2.0 (TID 23, localhost, partition 20,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 20.0 in stage 2.0 (TID 23)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 18.0 in stage 2.0 (TID 21) in 31 ms on localhost (19/200)
